1.002776184082031250e+02,9.972470855712890625e+01,9.972470855712890625e+01,1.997664184570312500e+02
9.996631622314453125e+01,9.982020568847656250e+01,9.982020568847656250e+01,1.996782684326171875e+02
9.964289855957031250e+01,1.000183715820312500e+02,1.000183715820312500e+02,2.005698699951171875e+02
9.992236328125000000e+01,1.002168502807617188e+02,1.002168502807617188e+02,1.992972259521484375e+02
9.949011230468750000e+01,1.000708694458007812e+02,1.000708694458007812e+02,2.002764892578125000e+02
1.000031127929687500e+02,9.922411346435546875e+01,9.922411346435546875e+01,2.005277862548828125e+02
9.956437683105468750e+01,1.004300003051757812e+02,1.004300003051757812e+02,2.000810852050781250e+02
1.007130126953125000e+02,1.006865615844726562e+02,1.006865615844726562e+02,2.001637725830078125e+02
1.004867324829101562e+02,1.002536773681640625e+02,1.002536773681640625e+02,1.984259490966796875e+02
1.009197463989257812e+02,1.001126174926757812e+02,1.001126174926757812e+02,2.007835845947265625e+02
9.890225982666015625e+01,9.996604156494140625e+01,9.996604156494140625e+01,1.992600860595703125e+02
1.011784896850585938e+02,9.968466186523437500e+01,9.968466186523437500e+01,2.005964050292968750e+02
1.011654281616210938e+02,1.009803085327148438e+02,1.009803085327148438e+02,1.994235839843750000e+02
1.010680694580078125e+02,1.003410263061523438e+02,1.003410263061523438e+02,1.988255615234375000e+02
1.004087600708007812e+02,1.002028274536132812e+02,1.002028274536132812e+02,1.997547149658203125e+02
1.004549636840820312e+02,9.992516326904296875e+01,9.992516326904296875e+01,1.993353729248046875e+02
9.970515441894531250e+01,1.000775604248046875e+02,1.000775604248046875e+02,1.995960083007812500e+02
9.952778625488281250e+01,1.006234207153320312e+02,1.006234207153320312e+02,1.997541809082031250e+02
1.004967575073242188e+02,1.002850265502929688e+02,1.002850265502929688e+02,1.995661468505859375e+02
1.006186141967773438e+02,1.001288528442382812e+02,1.001288528442382812e+02,1.986993560791015625e+02
9.905218505859375000e+01,9.973261260986328125e+01,9.973261260986328125e+01,1.993910980224609375e+02
9.977776336669921875e+01,9.945199584960937500e+01,9.945199584960937500e+01,1.995182189941406250e+02
9.901722717285156250e+01,9.910304260253906250e+01,9.910304260253906250e+01,2.006831359863281250e+02
1.001404495239257812e+02,9.998384094238281250e+01,9.998384094238281250e+01,2.021789703369140625e+02
1.015529556274414062e+02,1.007730178833007812e+02,1.007730178833007812e+02,1.994826507568359375e+02
