Epoch: 100 	 ELBO: -8.7601 	 RecLoss: 15.4496 	 KLD: 6.6895
Epoch: 200 	 ELBO: -34.8654 	 RecLoss: 41.7203 	 KLD: 6.8550
Epoch: 300 	 ELBO: -39.3749 	 RecLoss: 46.2037 	 KLD: 6.8288
Epoch: 400 	 ELBO: -40.9480 	 RecLoss: 47.5502 	 KLD: 6.6022
Epoch: 500 	 ELBO: -41.1787 	 RecLoss: 48.4936 	 KLD: 7.3150
Epoch: 600 	 ELBO: -41.5637 	 RecLoss: 48.4542 	 KLD: 6.8905
Epoch: 700 	 ELBO: -40.6071 	 RecLoss: 47.8070 	 KLD: 7.1998
Epoch: 800 	 ELBO: -42.3172 	 RecLoss: 49.4266 	 KLD: 7.1094
Epoch: 900 	 ELBO: -43.7465 	 RecLoss: 51.1437 	 KLD: 7.3972
Epoch: 1000 	 ELBO: -43.4508 	 RecLoss: 50.7431 	 KLD: 7.2923
Epoch: 1100 	 ELBO: -43.6116 	 RecLoss: 50.7706 	 KLD: 7.1590
Epoch: 1200 	 ELBO: -41.3604 	 RecLoss: 49.0149 	 KLD: 7.6545
Epoch: 1300 	 ELBO: -45.0276 	 RecLoss: 52.5505 	 KLD: 7.5229
Epoch: 1400 	 ELBO: -44.7250 	 RecLoss: 52.1589 	 KLD: 7.4339
Epoch: 1500 	 ELBO: -39.4575 	 RecLoss: 47.0129 	 KLD: 7.5555
Epoch: 1600 	 ELBO: -45.3231 	 RecLoss: 52.7210 	 KLD: 7.3979
Epoch: 1700 	 ELBO: -45.4282 	 RecLoss: 53.1329 	 KLD: 7.7046
Epoch: 1800 	 ELBO: -40.6987 	 RecLoss: 48.2960 	 KLD: 7.5974
Epoch: 1900 	 ELBO: -45.2731 	 RecLoss: 52.9398 	 KLD: 7.6668
Epoch: 2000 	 ELBO: -46.0981 	 RecLoss: 53.9063 	 KLD: 7.8082
Epoch: 2100 	 ELBO: -45.0050 	 RecLoss: 52.8600 	 KLD: 7.8550
Epoch: 2200 	 ELBO: -44.6294 	 RecLoss: 52.2026 	 KLD: 7.5732
Epoch: 2300 	 ELBO: -44.8891 	 RecLoss: 52.3816 	 KLD: 7.4925
Epoch: 2400 	 ELBO: -46.0732 	 RecLoss: 53.9147 	 KLD: 7.8415
Epoch: 2500 	 ELBO: -44.7731 	 RecLoss: 52.6072 	 KLD: 7.8341
Epoch: 2600 	 ELBO: -43.9317 	 RecLoss: 51.8092 	 KLD: 7.8775
Epoch: 2700 	 ELBO: -45.8094 	 RecLoss: 53.8503 	 KLD: 8.0409
Epoch: 2800 	 ELBO: -43.9097 	 RecLoss: 51.9483 	 KLD: 8.0387
Epoch: 2900 	 ELBO: -23.7421 	 RecLoss: 31.4840 	 KLD: 7.7419
Epoch: 3000 	 ELBO: -45.3292 	 RecLoss: 52.9812 	 KLD: 7.6520
Epoch: 3100 	 ELBO: -44.5690 	 RecLoss: 52.3073 	 KLD: 7.7383
Epoch: 3200 	 ELBO: -44.5027 	 RecLoss: 52.2917 	 KLD: 7.7890
Epoch: 3300 	 ELBO: -45.1711 	 RecLoss: 53.0805 	 KLD: 7.9094
Epoch: 3400 	 ELBO: -46.2927 	 RecLoss: 54.1702 	 KLD: 7.8775
Epoch: 3500 	 ELBO: -44.3001 	 RecLoss: 51.9934 	 KLD: 7.6933
Epoch: 3600 	 ELBO: -46.3245 	 RecLoss: 54.2647 	 KLD: 7.9402
Epoch: 3700 	 ELBO: -46.5746 	 RecLoss: 54.5860 	 KLD: 8.0114
Epoch: 3800 	 ELBO: -46.7344 	 RecLoss: 54.9229 	 KLD: 8.1884
Epoch: 3900 	 ELBO: -43.6827 	 RecLoss: 51.6286 	 KLD: 7.9459
Epoch: 4000 	 ELBO: -46.7878 	 RecLoss: 54.7019 	 KLD: 7.9140
Epoch: 4100 	 ELBO: -44.8238 	 RecLoss: 52.8706 	 KLD: 8.0468
Epoch: 4200 	 ELBO: -45.8172 	 RecLoss: 54.0464 	 KLD: 8.2292
Epoch: 4300 	 ELBO: -44.0795 	 RecLoss: 51.9207 	 KLD: 7.8412
Epoch: 4400 	 ELBO: -46.5018 	 RecLoss: 54.5122 	 KLD: 8.0104
Epoch: 4500 	 ELBO: -45.3060 	 RecLoss: 53.4383 	 KLD: 8.1323
Epoch: 4600 	 ELBO: -45.5939 	 RecLoss: 53.5065 	 KLD: 7.9126
Epoch: 4700 	 ELBO: -45.6897 	 RecLoss: 53.7841 	 KLD: 8.0945
Epoch: 4800 	 ELBO: -43.4906 	 RecLoss: 51.5349 	 KLD: 8.0443
Epoch: 4900 	 ELBO: -44.1573 	 RecLoss: 52.3239 	 KLD: 8.1666
Epoch: 5000 	 ELBO: -47.3752 	 RecLoss: 55.3793 	 KLD: 8.0041
Epoch: 5100 	 ELBO: -46.4852 	 RecLoss: 54.4237 	 KLD: 7.9385
Epoch: 5200 	 ELBO: -41.8517 	 RecLoss: 49.8864 	 KLD: 8.0347
Epoch: 5300 	 ELBO: -35.8445 	 RecLoss: 43.8066 	 KLD: 7.9621
