using M.Exp for Logarithm
Epoch: 10 	 loss = 1962.0305
Epoch: 20 	 loss = 877.6669
Epoch: 30 	 loss = 8293.0879
Epoch: 40 	 loss = 8776.5498
Epoch: 50 	 loss = 680.9672
Epoch: 60 	 loss = 547.3585
Epoch: 70 	 loss = 745.2761
Epoch: 80 	 loss = 660.8293
Epoch: 90 	 loss = 793.3975
Epoch: 100 	 loss = 1601.5544
Epoch: 110 	 loss = 8392.9834
Epoch: 120 	 loss = 403.1077
Epoch: 130 	 loss = 773.4880
Epoch: 140 	 loss = 1062.0631
Epoch: 150 	 loss = 379.5275
Epoch: 160 	 loss = 564.9403
Epoch: 170 	 loss = 914.4613
Epoch: 180 	 loss = 1146.6399
Epoch: 190 	 loss = 2613.1064
Epoch: 200 	 loss = 3017.7673
Epoch: 210 	 loss = 1321.6454
Epoch: 220 	 loss = 1014.3700
Epoch: 230 	 loss = 8406.3887
Epoch: 240 	 loss = 1216.1874
Epoch: 250 	 loss = 9121.5215
Epoch: 260 	 loss = 619.2650
Epoch: 270 	 loss = 1213.9049
Epoch: 280 	 loss = 3314.8328
Epoch: 290 	 loss = 905.3023
Epoch: 300 	 loss = 8570.5537
Epoch: 310 	 loss = 9522.7197
Epoch: 320 	 loss = 8119.3154
Epoch: 330 	 loss = 1836.3151
Epoch: 340 	 loss = 525.3664
Epoch: 350 	 loss = 326.1763
Epoch: 360 	 loss = 1355.3909
Epoch: 370 	 loss = 2364.4141
Epoch: 380 	 loss = 3031.0415
Epoch: 390 	 loss = 8618.9414
Epoch: 400 	 loss = 1093.6488
Epoch: 410 	 loss = 1006.8613
Epoch: 420 	 loss = 8206.3301
Epoch: 430 	 loss = 676.5150
Epoch: 440 	 loss = 9369.1406
Epoch: 450 	 loss = 8238.0137
Epoch: 460 	 loss = 1407.3474
Epoch: 470 	 loss = 380.5946
Epoch: 480 	 loss = 1679.9723
Epoch: 490 	 loss = 971.9777
Epoch: 500 	 loss = 597.0715
Epoch: 510 	 loss = 1726.6055
Epoch: 520 	 loss = 1700.8977
Epoch: 530 	 loss = 9939.7129
Epoch: 540 	 loss = 2499.1892
Epoch: 550 	 loss = 1610.3616
Epoch: 560 	 loss = 9327.4873
Epoch: 570 	 loss = 1801.6415
Epoch: 580 	 loss = 711.1665
Epoch: 590 	 loss = 735.4878
Epoch: 600 	 loss = 8768.5195
Epoch: 610 	 loss = 8596.9121
Epoch: 620 	 loss = 8836.0029
Epoch: 630 	 loss = 8446.7793
Epoch: 640 	 loss = 7890.3804
Epoch: 650 	 loss = 1482.2900
Epoch: 660 	 loss = 886.6072
Epoch: 670 	 loss = 1415.1011
Epoch: 680 	 loss = 8630.2471
Epoch: 690 	 loss = 9036.4482
Epoch: 700 	 loss = 1139.3407
Epoch: 710 	 loss = 8405.2510
Epoch: 720 	 loss = 752.7528
